scenario_id,varied_parameter,baseline_value,candidate_value,from_condition,to_condition,migration_count,changed_case_ids,critical_violation,critical_violation_codes,policy_fingerprint,result_fingerprint
SD-SENS-BASELINE,baseline,,,,,0,,false,,slow-dead-policy:slow-dead-calibration-fingerprint-fnv1a32-v1:0c3cf3e0,slow-dead-sensitivity-result:slow-dead-calibration-fingerprint-fnv1a32-v1:4e547d6e
SD-SENS-HISTORY-COVERAGE-LOW,minimumHistoryCoverageMonths,12,9,insufficient_evidence,no_case,1,SD-CAL-SYN-0020,true,insufficient_history_protection_broken,slow-dead-policy:slow-dead-calibration-fingerprint-fnv1a32-v1:9ffdd9c0,slow-dead-sensitivity-result:slow-dead-calibration-fingerprint-fnv1a32-v1:ebd8b852
SD-SENS-HISTORY-COVERAGE-HIGH,minimumHistoryCoverageMonths,12,18,dead_stock_candidate,insufficient_evidence,6,SD-CAL-SYN-0005|SD-CAL-SYN-0014|SD-CAL-SYN-0015|SD-CAL-SYN-0019|SD-CAL-SYN-0026|SD-CAL-SYN-0029,false,,slow-dead-policy:slow-dead-calibration-fingerprint-fnv1a32-v1:8c73da66,slow-dead-sensitivity-result:slow-dead-calibration-fingerprint-fnv1a32-v1:9243b28e
SD-SENS-HISTORY-COVERAGE-HIGH,minimumHistoryCoverageMonths,12,18,intermittent_expected,insufficient_evidence,2,SD-CAL-SYN-0002|SD-CAL-SYN-0017,true,intermittent_demand_protection_broken,slow-dead-policy:slow-dead-calibration-fingerprint-fnv1a32-v1:8c73da66,slow-dead-sensitivity-result:slow-dead-calibration-fingerprint-fnv1a32-v1:9243b28e
SD-SENS-HISTORY-COVERAGE-HIGH,minimumHistoryCoverageMonths,12,18,no_case,insufficient_evidence,1,SD-CAL-SYN-0007,false,,slow-dead-policy:slow-dead-calibration-fingerprint-fnv1a32-v1:8c73da66,slow-dead-sensitivity-result:slow-dead-calibration-fingerprint-fnv1a32-v1:9243b28e
SD-SENS-HISTORY-COVERAGE-HIGH,minimumHistoryCoverageMonths,12,18,non_moving_candidate,insufficient_evidence,9,SD-CAL-SYN-0004|SD-CAL-SYN-0011|SD-CAL-SYN-0012|SD-CAL-SYN-0013|SD-CAL-SYN-0016|SD-CAL-SYN-0018|SD-CAL-SYN-0024|SD-CAL-SYN-0027|SD-CAL-SYN-0028,false,,slow-dead-policy:slow-dead-calibration-fingerprint-fnv1a32-v1:8c73da66,slow-dead-sensitivity-result:slow-dead-calibration-fingerprint-fnv1a32-v1:9243b28e
SD-SENS-HISTORY-COVERAGE-HIGH,minimumHistoryCoverageMonths,12,18,slow_moving_candidate,insufficient_evidence,5,SD-CAL-SYN-0003|SD-CAL-SYN-0008|SD-CAL-SYN-0009|SD-CAL-SYN-0010|SD-CAL-SYN-0030,false,,slow-dead-policy:slow-dead-calibration-fingerprint-fnv1a32-v1:8c73da66,slow-dead-sensitivity-result:slow-dead-calibration-fingerprint-fnv1a32-v1:9243b28e
SD-SENS-HISTORY-COVERAGE-HIGH,minimumHistoryCoverageMonths,12,18,strategic_reserve,insufficient_evidence,1,SD-CAL-SYN-0006,true,strategic_reserve_protection_broken,slow-dead-policy:slow-dead-calibration-fingerprint-fnv1a32-v1:8c73da66,slow-dead-sensitivity-result:slow-dead-calibration-fingerprint-fnv1a32-v1:9243b28e
SD-SENS-MIN-COMPLETENESS-LOW,minimumHistoryCompleteness,0.8,0.75,insufficient_evidence,no_case,1,SD-CAL-SYN-0021,true,low_completeness_protection_broken,slow-dead-policy:slow-dead-calibration-fingerprint-fnv1a32-v1:d5028f26,slow-dead-sensitivity-result:slow-dead-calibration-fingerprint-fnv1a32-v1:9ffda9ca
SD-SENS-MIN-COMPLETENESS-HIGH,minimumHistoryCompleteness,0.8,0.85,non_moving_candidate,insufficient_evidence,1,SD-CAL-SYN-0027,false,,slow-dead-policy:slow-dead-calibration-fingerprint-fnv1a32-v1:d0ff7721,slow-dead-sensitivity-result:slow-dead-calibration-fingerprint-fnv1a32-v1:79edeeb5
