material_id,plant,period,consumption_quantity,base_unit,movement_type,movement_count,storage_location,document_id,document_item
MAT-1001,PLANT-02,2024-09,100,EA,261,1,SYN-01,SYN-1001-001,0001
MAT-1001,PLANT-02,2024-10,100,EA,261,1,SYN-01,SYN-1001-002,0001
MAT-1001,PLANT-02,2024-11,100,EA,261,1,SYN-01,SYN-1001-003,0001
MAT-1001,PLANT-02,2024-12,100,EA,261,1,SYN-01,SYN-1001-004,0001
MAT-1001,PLANT-02,2025-01,100,EA,261,1,SYN-01,SYN-1001-005,0001
MAT-1001,PLANT-02,2025-02,100,EA,261,1,SYN-01,SYN-1001-006,0001
MAT-1001,PLANT-02,2025-03,100,EA,261,1,SYN-01,SYN-1001-007,0001
MAT-1001,PLANT-02,2025-04,100,EA,261,1,SYN-01,SYN-1001-008,0001
MAT-1001,PLANT-02,2025-05,100,EA,261,1,SYN-01,SYN-1001-009,0001
MAT-1001,PLANT-02,2025-06,100,EA,261,1,SYN-01,SYN-1001-010,0001
MAT-1001,PLANT-02,2025-07,100,EA,261,1,SYN-01,SYN-1001-011,0001
MAT-1001,PLANT-02,2025-08,100,EA,261,1,SYN-01,SYN-1001-012,0001
MAT-1001,PLANT-02,2025-09,100,EA,261,1,SYN-01,SYN-1001-013,0001
MAT-1001,PLANT-02,2025-10,100,EA,261,1,SYN-01,SYN-1001-014,0001
MAT-1001,PLANT-02,2025-11,100,EA,261,1,SYN-01,SYN-1001-015,0001
MAT-1001,PLANT-02,2025-12,100,EA,261,1,SYN-01,SYN-1001-016,0001
MAT-1001,PLANT-02,2026-01,100,EA,261,1,SYN-01,SYN-1001-017,0001
MAT-1001,PLANT-02,2026-02,100,EA,261,1,SYN-01,SYN-1001-018,0001
MAT-1001,PLANT-02,2026-03,100,EA,261,1,SYN-01,SYN-1001-019,0001
MAT-1001,PLANT-02,2026-04,100,EA,261,1,SYN-01,SYN-1001-020,0001
MAT-1001,PLANT-02,2026-05,100,EA,261,1,SYN-01,SYN-1001-021,0001
MAT-1001,PLANT-02,2026-06,100,EA,261,1,SYN-01,SYN-1001-022,0001
MAT-1001,PLANT-02,2026-07,100,EA,261,1,SYN-01,SYN-1001-023,0001
MAT-1001,PLANT-02,2026-08,100,EA,261,1,SYN-01,SYN-1001-024,0001
MAT-1002,PLANT-03,2024-09,100,EA,261,1,SYN-01,SYN-1002-001,0001
MAT-1002,PLANT-03,2024-10,100,EA,261,1,SYN-01,SYN-1002-002,0001
MAT-1002,PLANT-03,2024-11,100,EA,261,1,SYN-01,SYN-1002-003,0001
MAT-1002,PLANT-03,2024-12,100,EA,261,1,SYN-01,SYN-1002-004,0001
MAT-1002,PLANT-03,2025-01,100,EA,261,1,SYN-01,SYN-1002-005,0001
