Div,Material,Material Descripti,Program short,Sparte / Secteur d,Planif. Type,MRP Controller,Prod. Sched,GAc / Purchasing,Purchase Organis,Accountable L1,Accountable L2,Accountable L3,Responsible L1,Responsible L2,Responsible L3,Availability,Profit Center,PUP/PMP,STD Price,Par,MonthlyConsum,Minimum Lot Size,Supply Type,Finance Classific,No Need Flag,Strategic ?,Status Safety,Safety Stock Target,Safety Stock Target,Stock Quantity,Stock Value (EUR),Good Stock (EUR),Bad Stock (EUR),Needs in the past Qty,Needs in the past EUR,Needs <3 mths Qty,Needs <3 mths EUR,Needs 3-5 mths Qty,Needs 3-5 mths EUR,Needs 5-12 mths Qty,Needs 5-12 mths EUR,Needs 12-24 mths Qty,Needs 12-24 mths EUR,Needs >24 mths Qty,Needs >24 mths EUR,Safety Stock - Fill Qty,Safety Stock - Fill EUR,Safety Stock - Mis Qty,Safety Stock - Mis EUR,No Need / Conso Qty,No Need / Conso EUR,No Need / No Con Qty,No Need / No Con EUR,Needs in the past Qty 2,Needs in the past EUR 2,Needs <3 month Qty,Needs <3 month EUR,Needs 3-5 month Qty,Needs 3-5 month EUR,Needs 5-12 month Qty,Needs 5-12 month EUR,Needs 12-24 month Qty,Needs 12-24 month EUR,Needs >24 month Qty,Needs >24 month EUR,Excess (Qty),Excess (EUR),No Plan (Qty),No Plan (EUR),Coverage [months],Factory,Plant
01,MAT-1001,Housing assembly,PROG-A,MECH,PD,A01,SCHED-1,GAC-1,ORG-DE,Ops,Planning,Buyer,Planner A,Lead A,Team 1,Available,PC-100,PMP,4.8,1,0,10,Buy,A,,No,OK,10,10,35,168.0,168.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,33.6,5,24.0,5,24.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,33.6,0,0.0,0,0.0,999,,PLANT-02
02,MAT-1002,Control board,PROG-B,ELEC,VB,B02,SCHED-2,GAC-2,ORG-FR,Ops,Planning,Buyer,Planner B,Lead B,Team 2,Available,PC-200,PMP,9.6,2,1,20,Make,B,,Yes,OK,20,20,72,691.2,691.2,0.0,0,0.0,2,19.2,1,9.6,3,28.8,4,38.4,14,134.4,12,115.2,8,76.8,0,0.0,0,0.0,0,0.0,2,19.2,1,9.6,3,28.8,4,38.4,14,134.4,0,0.0,0,0.0,72.0,,PLANT-03
03,MAT-1003,Legacy bracket,PROG-C,SPARE,ND,C03,SCHED-3,GAC-3,ORG-CZ,Ops,Planning,Buyer,Planner C,Lead C,Team 3,Available,PC-300,PMP,12.5,3,2,25,Transfer,C,,No,OK,35,35,109,1362.5,1362.5,0.0,0,0.0,4,50.0,2,25.0,6,75.0,8,100.0,21,262.5,18,225.0,17,212.5,0,0.0,0,0.0,0,0.0,4,50.0,2,25.0,6,75.0,8,100.0,21,262.5,0,0.0,0,0.0,54.5,,PLANT-04
04,MAT-1004,Sensor module,PROG-D,HYD,V1,D04,SCHED-4,GAC-4,ORG-PL,Ops,Planning,Buyer,Planner D,Lead D,Team 4,Available,PC-400,PMP,18.4,4,4,50,Buy,A,,Yes,OK,50,50,146,2686.4,2686.4,0.0,1,18.4,8,147.2,4,73.6,12,220.8,16,294.4,0,0.0,24,441.6,26,478.4,0,0.0,0,0.0,1,18.4,8,147.2,4,73.6,12,220.8,16,294.4,0,0.0,0,0.0,0,0.0,36.5,,PLANT-01
01,MAT-1005,Precision bearing,PROG-E,PACK,PD,E05,SCHED-5,GAC-5,ORG-DE,Ops,Planning,Buyer,Planner E,Lead E,Team 5,Available,PC-500,PMP,24.0,5,8,100,Make,B,,No,Review,80,80,183,4392.0,4392.0,0.0,2,48.0,16,384.0,8,192.0,24,576.0,32,768.0,0,0.0,30,720.0,50,1200.0,0,0.0,0,0.0,2,48.0,16,384.0,8,192.0,24,576.0,32,768.0,0,0.0,61,1464.0,0,0.0,22.9,,PLANT-02
02,MAT-1006,Pump rotor,PROG-F,CHEM,VB,F06,SCHED-6,GAC-1,ORG-FR,Ops,Planning,Buyer,Planner F,Lead F,Team 1,Available,PC-600,PMP,31.5,6,12,250,Transfer,C,,Yes,OK,120,120,220,6930.0,6930.0,0.0,4,126.0,24,756.0,12,378.0,36,1134.0,48,1512.0,0,0.0,36,1134.0,84,2646.0,0,0.0,0,0.0,4,126.0,24,756.0,12,378.0,36,1134.0,48,1512.0,0,0.0,0,0.0,0,0.0,18.3,,PLANT-03
03,MAT-1007,Valve body,PROG-G,MECH,ND,G07,SCHED-1,GAC-2,ORG-CZ,Ops,Planning,Buyer,Planner G,Lead A,Team 2,Available,PC-700,PMP,44.0,7,18,500,Buy,A,X,No,OK,160,160,257,11308.0,11308.0,0.0,6,264.0,36,1584.0,18,792.0,54,2376.0,72,3168.0,0,0.0,42,1848.0,118,5192.0,64,2816.0,0,0.0,6,264.0,36,1584.0,18,792.0,54,2376.0,72,3168.0,0,0.0,0,0.0,0,0.0,14.3,,PLANT-04
04,,Seal kit,PROG-H,ELEC,V1,H08,SCHED-2,GAC-3,ORG-PL,Ops,Planning,Buyer,Planner H,Lead B,Team 3,Available,PC-800,PMP,51.0,8,25,10,Make,B,,Yes,OK,10,10,294,14994.0,14994.0,0.0,8,408.0,50,2550.0,25,1275.0,75,3825.0,100,5100.0,0,0.0,10,510.0,0,0.0,0,0.0,0,0.0,8,408.0,50,2550.0,25,1275.0,75,3825.0,100,5100.0,0,0.0,0,0.0,0,0.0,11.8,,
01,MAT-1009,Drive belt,PROG-A,SPARE,PD,A09,SCHED-3,GAC-4,ORG-DE,Ops,Planning,Buyer,Planner A,Lead C,Team 4,Available,PC-100,PMP,78.5,9,34,20,Transfer,C,X,No,OK,20,20,331,25983.5,25983.5,0.0,11,863.5,68,5338.0,34,2669.0,102,8007.0,136,10676.0,0,0.0,20,1570.0,0,0.0,0,0.0,55,4317.5,11,863.5,68,5338.0,34,2669.0,102,8007.0,136,10676.0,0,0.0,0,0.0,0,0.0,9.7,,PLANT-02
02,MAT-1010,Display unit,PROG-B,HYD,VB,B01,SCHED-4,GAC-5,ORG-FR,Ops,Planning,Buyer,Planner B,Lead D,Team 5,Available,PC-200,PMP,96.0,10,48,25,Buy,A,,Yes,Review,35,35,368,35328.0,35328.0,0.0,16,1536.0,96,9216.0,48,4608.0,144,13824.0,192,18432.0,0,0.0,35,3360.0,0,0.0,0,0.0,0,0.0,16,1536.0,96,9216.0,48,4608.0,144,13824.0,192,18432.0,0,0.0,122,11712.0,0,0.0,7.7,,PLANT-03
03,MAT-1011,Cable harness,PROG-C,PACK,ND,C02,SCHED-5,GAC-1,ORG-CZ,Ops,Planning,Buyer,Planner C,Lead E,Team 1,Blocked,PC-300,PMP,142.0,11,0,50,Make,B,,No,Critical,50,50,405,57510.0,46008.0,11502.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,81,11502.0,50,7100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,81,11502.0,0,0.0,0,0.0,999,,PLANT-04
04,MAT-1012,Cooling fan,PROG-D,CHEM,V1,D03,SCHED-6,GAC-2,ORG-PL,Ops,Planning,Buyer,Planner D,Lead F,Team 2,Available,PC-400,PMP,188.0,12,1,100,Transfer,C,,Yes,OK,80,80,442,83096.0,83096.0,0.0,0,0.0,2,376.0,1,188.0,3,564.0,4,752.0,88,16544.0,73,13724.0,7,1316.0,0,0.0,0,0.0,0,0.0,2,376.0,1,188.0,3,564.0,4,752.0,88,16544.0,0,0.0,0,0.0,442.0,,PLANT-01
01,MAT-1013,Filter cartridge,PROG-E,MECH,PD,E04,SCHED-1,GAC-3,ORG-DE,Ops,Planning,Buyer,Planner E,Lead A,Team 3,Low,PC-500,PMP,260.0,13,2,250,Buy,A,,No,OK,120,120,479,124540.0,124540.0,0.0,0,0.0,4,1040.0,2,520.0,6,1560.0,8,2080.0,95,24700.0,79,20540.0,41,10660.0,0,0.0,0,0.0,0,0.0,4,1040.0,2,520.0,6,1560.0,8,2080.0,95,24700.0,0,0.0,59,15340.0,239.5,,PLANT-02
02,MAT-1014,Gear wheel,PROG-F,ELEC,VB,F05,SCHED-2,GAC-4,ORG-FR,Ops,Planning,Buyer,Planner F,Lead B,Team 4,Available,PC-600,PMP,315.0,14,4,500,Make,B,X,Yes,OK,160,160,516,162540.0,162540.0,0.0,1,315.0,8,2520.0,4,1260.0,12,3780.0,16,5040.0,0,0.0,86,27090.0,74,23310.0,129,40635.0,0,0.0,1,315.0,8,2520.0,4,1260.0,12,3780.0,16,5040.0,0,0.0,0,0.0,0,0.0,129.0,,PLANT-03
03,MAT-1015,Pressure sensor,PROG-G,SPARE,ND,G06,SCHED-3,GAC-5,ORG-CZ,Ops,Planning,Buyer,Planner G,Lead C,Team 5,Available,PC-700,PMP,410.0,1,8,10,Transfer,C,,No,Review,10,10,553,,226730.0,0.0,2,820.0,16,6560.0,8,3280.0,24,9840.0,32,13120.0,0,0.0,10,4100.0,0,0.0,0,0.0,0,0.0,2,820.0,16,6560.0,8,3280.0,24,9840.0,32,13120.0,0,0.0,184,75440.0,0,0.0,69.1,,PLANT-04
04,MAT-1016,Mounting plate,PROG-H,HYD,V1,H07,SCHED-4,GAC-1,ORG-PL,Ops,Planning,Buyer,Planner H,Lead D,Team 1,Available,PC-800,PMP,4.8,2,12,20,Buy,A,,Yes,OK,20,20,590,2832.0,2832.0,0.0,4,19.2,24,115.2,12,57.6,36,172.8,48,230.4,0,0.0,20,96.0,0,0.0,0,0.0,0,0.0,4,19.2,24,115.2,12,57.6,36,172.8,48,230.4,0,0.0,0,0.0,0,0.0,49.2,,PLANT-01
01,MAT-1017,Hydraulic hose,PROG-A,PACK,PD,A08,SCHED-5,GAC-2,ORG-DE,Ops,Planning,Buyer,Planner A,Lead E,Team 2,Available,PC-100,PMP,9.6,3,18,25,Make,B,,No,OK,35,35,627,6019.2,6019.2,0.0,6,57.6,36,345.6,18,172.8,54,518.4,72,691.2,0,0.0,35,336.0,0,0.0,0,0.0,0,0.0,6,57.6,36,345.6,18,172.8,54,518.4,72,691.2,0,0.0,0,0.0,0,0.0,34.8,,PLANT-02
02,MAT-1018,Connector kit,PROG-B,CHEM,VB,B09,SCHED-6,GAC-3,ORG-FR,Ops,Planning,Buyer,Planner B,Lead F,Team 3,Available,PC-200,PMP,12.5,4,25,50,Transfer,C,X,Yes,OK,50,50,664,8300.0,8300.0,0.0,8,100.0,50,625.0,25,312.5,75,937.5,100,1250.0,0,0.0,50,625.0,0,0.0,0,0.0,110,1375.0,8,100.0,50,625.0,25,312.5,75,937.5,100,1250.0,0,0.0,0,0.0,0,0.0,26.6,,PLANT-03
03,MAT-1019,Packaging insert,PROG-C,MECH,ND,C01,SCHED-1,GAC-4,ORG-CZ,Ops,Planning,Buyer,Planner C,Lead A,Team 4,Available,PC-300,PMP,18.4,5,34,100,Buy,A,,No,OK,80,80,701,12898.4,12898.4,0.0,11,202.4,68,1251.2,34,625.6,102,1876.8,136,2502.4,0,0.0,80,1472.0,0,0.0,0,0.0,0,0.0,11,202.4,68,1251.2,34,625.6,102,1876.8,136,2502.4,0,0.0,0,0.0,0,0.0,20.6,,PLANT-04
04,MAT-1020,Motor housing,PROG-D,ELEC,V1,D02,SCHED-2,GAC-5,ORG-PL,Ops,Planning,Buyer,Planner D,Lead B,Team 5,Available,PC-400,PMP,24.0,6,48,250,Make,B,,Yes,Review,120,120,738,17712.0,17712.0,0.0,16,384.0,96,2304.0,48,1152.0,144,3456.0,192,4608.0,0,0.0,120,2880.0,0,0.0,0,0.0,0,0.0,16,384.0,96,2304.0,48,1152.0,144,3456.0,192,4608.0,0,0.0,246,5904.0,0,0.0,15.4,,PLANT-01
01,MAT-1021,Relay module,PROG-E,SPARE,PD,E03,SCHED-3,GAC-1,ORG-DE,Ops,Planning,Buyer,Planner E,Lead C,Team 1,Available,PC-500,PMP,31.5,7,0,500,Transfer,C,X,No,OK,160,160,775,24412.5,24412.5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,155,4882.5,129,4063.5,31,976.5,193,6079.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,155,4882.5,0,0.0,0,0.0,999,,PLANT-02
02,MAT-1022,Shaft collar,PROG-F,HYD,VB,F04,SCHED-4,GAC-2,ORG-FR,Ops,Planning,Buyer,Planner F,Lead D,Team 2,Blocked,PC-600,PMP,44.0,8,1,10,Buy,A,,Yes,Critical,10,10,812,35728.0,28600.0,7128.0,0,0.0,2,88.0,1,44.0,3,132.0,4,176.0,162,7128.0,10,440.0,0,0.0,0,0.0,0,0.0,0,0.0,2,88.0,1,44.0,3,132.0,4,176.0,162,7128.0,0,0.0,0,0.0,812.0,,PLANT-03
03,MAT-1023,O-ring set,PROG-G,PACK,ND,G05,SCHED-5,GAC-3,ORG-CZ,Ops,Planning,Buyer,Planner G,Lead E,Team 3,Available,PC-700,PMP,51.0,9,2,20,Make,B,,No,OK,20,20,849,43299.0,43299.0,0.0,0,0.0,4,204.0,2,102.0,6,306.0,8,408.0,169,8619.0,20,1020.0,0,0.0,0,0.0,0,0.0,0,0.0,4,204.0,2,102.0,6,306.0,8,408.0,169,8619.0,0,0.0,0,0.0,424.5,,PLANT-04
,MAT-1024,Terminal block,PROG-H,CHEM,V1,H06,SCHED-6,GAC-4,ORG-PL,Ops,Planning,Buyer,Planner H,Lead F,Team 4,Available,,PMP,78.5,10,4,25,Transfer,C,,Yes,OK,35,35,886,69551.0,69551.0,0.0,1,78.5,8,628.0,4,314.0,12,942.0,16,1256.0,0,0.0,35,2747.5,0,0.0,0,0.0,0,0.0,1,78.5,8,628.0,4,314.0,12,942.0,16,1256.0,0,0.0,0,0.0,0,0.0,221.5,,PLANT-01
01,MAT-1025,Flow meter,PROG-A,MECH,PD,A07,SCHED-1,GAC-5,ORG-DE,Ops,Planning,Buyer,Planner A,Lead A,Team 5,Available,PC-100,PMP,96.0,11,8,50,Buy,A,,No,Review,50,50,63,6048.0,6048.0,0.0,2,192.0,16,1536.0,8,768.0,24,2304.0,32,3072.0,0,0.0,10,960.0,40,3840.0,0,0.0,0,0.0,2,192.0,16,1536.0,8,768.0,24,2304.0,32,3072.0,0,0.0,21,2016.0,0,0.0,7.9,,PLANT-02
02,MAT-1026,Actuator arm,PROG-B,ELEC,VB,B08,SCHED-2,GAC-1,ORG-FR,Ops,Planning,Buyer,Planner B,Lead B,Team 1,Low,PC-200,PMP,142.0,12,12,100,Make,B,,Yes,OK,80,80,100,14200.0,14200.0,0.0,4,568.0,24,3408.0,12,1704.0,36,5112.0,48,6816.0,0,0.0,16,2272.0,64,9088.0,0,0.0,0,0.0,4,568.0,24,3408.0,12,1704.0,36,5112.0,48,6816.0,0,0.0,0,0.0,12,1704.0,8.3,,PLANT-03
03,MAT-1027,Insulation cover,PROG-C,SPARE,ND,C09,SCHED-3,GAC-2,ORG-CZ,Ops,Planning,Buyer,Planner C,Lead C,Team 2,Available,PC-300,PMP,188.0,13,18,250,Transfer,C,X,No,OK,120,120,137,25756.0,25756.0,0.0,6,1128.0,36,6768.0,18,3384.0,54,10152.0,72,13536.0,0,0.0,22,4136.0,98,18424.0,0,0.0,22,4136.0,6,1128.0,36,6768.0,18,3384.0,54,10152.0,72,13536.0,0,0.0,0,0.0,0,0.0,7.6,,PLANT-04
04,MAT-1028,Guide rail,PROG-D,HYD,V1,D01,SCHED-4,GAC-3,ORG-PL,Ops,Planning,Buyer,Planner D,Lead D,Team 3,Available,PC-400,PMP,260.0,14,25,500,Buy,A,X,Yes,OK,160,160,174,45240.0,45240.0,0.0,8,2080.0,50,13000.0,25,6500.0,75,19500.0,100,26000.0,0,0.0,29,7540.0,131,34060.0,43,11180.0,0,0.0,8,2080.0,50,13000.0,25,6500.0,75,19500.0,100,26000.0,0,0.0,0,0.0,0,0.0,7.0,,PLANT-01
,MAT-1029,Solenoid valve,PROG-E,PACK,PD,E02,SCHED-5,GAC-4,ORG-DE,Ops,Planning,Buyer,Planner E,Lead E,Team 4,Available,,PMP,315.0,1,34,10,Make,B,,No,OK,10,10,211,66465.0,66465.0,0.0,11,3465.0,68,21420.0,34,10710.0,102,32130.0,136,42840.0,0,0.0,10,3150.0,0,0.0,0,0.0,0,0.0,11,3465.0,68,21420.0,34,10710.0,102,32130.0,136,42840.0,0,0.0,0,0.0,0,0.0,6.2,DE-MUC-01,PLANT-02
02,MAT-1030,Battery pack,PROG-F,CHEM,VB,F03,SCHED-6,GAC-5,ORG-FR,Ops,Planning,Buyer,Planner F,Lead F,Team 5,Available,PC-600,PMP,410.0,2,48,20,Transfer,C,,Yes,Review,20,20,248,101680.0,101680.0,0.0,16,6560.0,96,39360.0,48,19680.0,144,59040.0,192,78720.0,0,0.0,20,8200.0,0,0.0,0,0.0,0,0.0,16,6560.0,96,39360.0,48,19680.0,144,59040.0,192,78720.0,0,0.0,82,33620.0,0,0.0,5.2,DE-STR-02,PLANT-03
03,MAT-1031,Housing assembly,PROG-G,MECH,ND,G04,SCHED-1,GAC-1,ORG-CZ,Ops,Planning,Buyer,Planner G,Lead A,Team 1,Available,PC-700,PMP,4.8,3,0,25,Buy,A,,No,OK,35,35,285,1368.0,1368.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,57,273.6,35,168.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,57,273.6,0,0.0,0,0.0,999,FR-LYO-01,PLANT-04
04,MAT-1032,Control board,PROG-H,ELEC,V1,H05,SCHED-2,GAC-2,ORG-PL,Ops,Planning,Buyer,Planner H,Lead B,Team 2,Available,PC-800,PMP,9.6,4,1,50,Make,B,,Yes,OK,50,50,322,3091.2,3091.2,0.0,0,0.0,2,19.2,1,9.6,3,28.8,4,38.4,64,614.4,50,480.0,0,0.0,0,0.0,0,0.0,0,0.0,2,19.2,1,9.6,3,28.8,4,38.4,64,614.4,0,0.0,0,0.0,322.0,,PLANT-01
01,MAT-1033,Legacy bracket,PROG-A,SPARE,PD,A06,SCHED-3,GAC-3,ORG-DE,Ops,Planning,Buyer,Planner A,Lead C,Team 3,Blocked,PC-100,PMP,12.5,5,2,100,Transfer,C,,No,Critical,80,80,359,4487.5,3600.0,887.5,0,0.0,4,50.0,2,25.0,6,75.0,8,100.0,71,887.5,59,737.5,21,262.5,0,0.0,0,0.0,0,0.0,4,50.0,2,25.0,6,75.0,8,100.0,71,887.5,0,0.0,0,0.0,179.5,,PLANT-02
02,MAT-1034,Sensor module,PROG-B,HYD,VB,B07,SCHED-4,GAC-4,ORG-FR,Ops,Planning,Buyer,Planner B,Lead D,Team 4,Available,PC-200,PMP,18.4,6,4,250,Buy,A,,Yes,OK,120,120,396,7286.4,7286.4,0.0,1,18.4,8,147.2,4,73.6,12,220.8,16,294.4,0,0.0,66,1214.4,54,993.6,0,0.0,0,0.0,1,18.4,8,147.2,4,73.6,12,220.8,16,294.4,0,0.0,0,0.0,0,0.0,99.0,,PLANT-03
03,MAT-1035,Precision bearing,PROG-C,PACK,ND,C08,SCHED-5,GAC-5,ORG-CZ,Ops,Planning,Buyer,Planner C,Lead E,Team 5,Available,PC-300,PMP,24.0,7,8,500,Make,B,X,No,Review,160,160,433,10392.0,10392.0,0.0,2,48.0,16,384.0,8,192.0,24,576.0,32,768.0,0,0.0,72,1728.0,88,2112.0,108,2592.0,0,0.0,2,48.0,16,384.0,8,192.0,24,576.0,32,768.0,0,0.0,144,3456.0,0,0.0,54.1,,PLANT-04
04,MAT-1036,Pump rotor,PROG-D,CHEM,V1,,,,,,,,,,,Available,PC-400,PMP,31.5,8,12,10,Transfer,C,X,Yes,OK,10,10,470,14805.0,14805.0,0.0,4,126.0,24,756.0,12,378.0,36,1134.0,48,1512.0,0,0.0,10,315.0,0,0.0,0,0.0,78,2457.0,4,126.0,24,756.0,12,378.0,36,1134.0,48,1512.0,0,0.0,0,0.0,0,0.0,39.2,,PLANT-01
01,MAT-1037,Valve body,PROG-E,MECH,PD,E01,SCHED-1,GAC-2,ORG-DE,Ops,Planning,Buyer,Planner E,Lead A,Team 2,Available,PC-500,PMP,44.0,9,18,20,Buy,A,,No,OK,20,20,507,22308.0,22308.0,0.0,6,264.0,36,1584.0,18,792.0,54,2376.0,72,3168.0,0,0.0,20,880.0,0,0.0,0,0.0,0,0.0,6,264.0,36,1584.0,18,792.0,54,2376.0,72,3168.0,0,0.0,0,0.0,0,0.0,28.2,,PLANT-02
02,MAT-1038,Seal kit,PROG-F,ELEC,VB,F02,SCHED-2,GAC-3,ORG-FR,Ops,Planning,Buyer,Planner F,Lead B,Team 3,Available,PC-600,PMP,51.0,10,25,25,Make,B,,Yes,OK,35,35,544,27744.0,27744.0,0.0,8,408.0,50,2550.0,25,1275.0,75,3825.0,100,5100.0,0,0.0,35,1785.0,0,0.0,0,0.0,0,0.0,8,408.0,50,2550.0,25,1275.0,75,3825.0,100,5100.0,0,0.0,0,0.0,0,0.0,21.8,,PLANT-03
03,MAT-1039,Drive belt,PROG-G,SPARE,ND,G03,SCHED-3,GAC-4,ORG-CZ,Ops,Planning,Buyer,Planner G,Lead C,Team 4,Low,PC-700,PMP,78.5,11,34,50,Transfer,C,,No,OK,50,50,581,45608.5,45608.5,0.0,11,863.5,68,5338.0,34,2669.0,102,8007.0,136,10676.0,0,0.0,50,3925.0,0,0.0,0,0.0,0,0.0,11,863.5,68,5338.0,34,2669.0,102,8007.0,136,10676.0,0,0.0,0,0.0,72,5652.0,17.1,,PLANT-04
04,MAT-1040,Display unit,PROG-H,HYD,V1,H04,SCHED-4,GAC-5,ORG-PL,Ops,Planning,Buyer,Planner H,Lead D,Team 5,Available,PC-800,PMP,96.0,12,48,100,Buy,A,,Yes,Review,80,80,618,59328.0,59328.0,0.0,16,1536.0,96,9216.0,48,4608.0,144,13824.0,192,18432.0,0,0.0,80,7680.0,0,0.0,0,0.0,0,0.0,16,1536.0,96,9216.0,48,4608.0,144,13824.0,192,18432.0,0,0.0,206,19776.0,0,0.0,12.9,,PLANT-01
01,MAT-1041,Cable harness,PROG-A,PACK,PD,A05,SCHED-5,GAC-1,ORG-DE,Ops,Planning,Buyer,Planner A,Lead E,Team 1,Available,PC-100,PMP,142.0,13,0,250,Make,B,,No,OK,120,120,655,93010.0,93010.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,131,18602.0,109,15478.0,11,1562.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,131,18602.0,0,0.0,0,0.0,999,,PLANT-02
